,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,0,0.91,1,1,0.56,0.37,0.99,1,1,1,1,0.41,1,0.86,0.96,-0.07,1,1,1,1,1,1,-0.85,1,1,1,-0.33,1,0.99,1,1,-0.42
S_74_Pos,0.91,0,-1,-1,-1,-1,-1,-1,-1,-0.03,-1,-1,-1,-1,-1,-1,-0.92,-1,-1,-1,-1,-1,-1,-1,-0.64,-0.71,-1,-0.34,-0.99,-0.95,-0.99,-1
S_75_Pos,1,-1,0,0.38,-1,-0.97,-1,-1,-0.95,-0.86,-1,0.97,1,-0.72,-0.57,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-1,-1,-0.92,-1,-1,-1,-1,-0.24
S_76_Pos,1,-1,0.38,0,-1,-1,-1,-1,-1,0.98,-0.95,-1,-1,-1,-1,-0.96,0.8,0.65,-1,-1,-1,-0.79,-0.97,-0.23,1,1,-1,1,1,1,0.89,-1
S_77_Pos,0.56,-1,-1,-1,0,-1,-1,-1,-1,-0.84,-1,-1,-1,-1,-1,-1,-0.89,-1,-1,-1,-1,-1,-1,-1,0.29,0.12,-1,0.18,-0.78,-0.59,-1,-1
S_78_Pos,0.37,-1,-0.97,-1,-1,0,-1,-1,-1,0.87,-0.98,-1,-1,-1,-1,-1,-0.47,-0.99,-1,-1,-1,-1,-1,-0.99,0.86,0.79,-1,0.62,-0.49,-0.33,-0.84,-1
S_79_Pos,0.99,-1,-1,-1,-1,-1,0,-1,-1,-0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.28,-0.37,-1,-0.96,-0.98,-0.83,-1,-1
S_80_Pos,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-0.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7,0.7,-1,-0.02,-0.6,-0.53,-1,-1
S_81_Pos,1,-1,-0.95,-1,-1,-1,-1,-1,0,0.55,-1,-1,-1,-1,-1,-0.93,-0.99,-0.82,-1,-1,-1,-1,-0.96,-0.95,1,1,-1,1,0.83,0.91,0.45,-1
S_82_Pos,1,-0.03,-0.86,0.98,-0.84,0.87,-0.15,-1,0.55,0,-1,1,1,0.79,1,1,0.22,-0.49,-0.79,-0.99,-0.72,-0.77,0.93,-1,1,1,0.98,0.99,1,1,-0.87,0.99
S_83_Pos,1,-1,-1,-0.95,-1,-0.98,-1,-1,-1,-1,0,0.93,0.99,-0.97,-0.53,-0.81,-1,-1,-1,-1,-1,-1,-0.91,-1,-0.29,-0.6,-0.76,-0.99,-0.98,-0.96,-1,-0.39
S_84_Pos,0.41,-1,0.97,-1,-1,-1,-1,-1,-1,1,0.93,0,-1,-1,-1,-1,1,0.94,-0.94,-1,0.09,0.52,-1,0.76,1,1,-1,1,0.86,1,0.97,-1
