,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_74_Pos,32.0885854141322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_75_Pos,57.3704458375798,48.6756328176606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_76_Pos,51.8128816415401,29.7060426147654,47.4059749839995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_77_Pos,38.7132935468957,15.3201499966625,47.3905750889408,21.6346589942891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_78_Pos,34.1799394108238,10.2878121459446,42.5753459956571,20.896693307652,10.3222377664841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_79_Pos,43.2227789491603,23.0679416613583,34.1571294566515,21.4150117294394,14.2301671682866,18.2726412397734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_80_Pos,52.8407513252717,28.1056526671001,35.2965496708897,25.795605022658,21.7189939176095,20.2851782359841,18.0277199044724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_81_Pos,55.0574304058259,33.4388122742295,42.8614268270008,12.1007362363942,23.5741728648071,23.5169096822122,21.9943382868621,27.0721527888221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_82_Pos,58.7631423715306,46.332493847763,29.7605047851181,52.3818996493981,44.3525642039742,44.0845740023548,34.2914191148495,36.0125420043137,53.5184022982645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_83_Pos,57.5381331369834,39.9296342181121,21.5687780564916,38.5272311207093,38.4276133380395,35.2347801851176,27.6797732872815,28.23053891428,37.9305691123758,22.4739633763288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_84_Pos,30.4933989199298,22.4809865820973,62.1318284551748,33.0146375834997,17.300493456871,20.1008066622342,30.8218502039042,37.456537846323,35.6000886390295,62.5740092232763,54.9691764861273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_85_Pos,45.6480664035916,28.3602374005944,63.9010044790384,19.5497506289672,19.1279267013319,17.0476335190381,27.604367919954,33.3419210640217,27.1606434053118,63.2179052116543,51.3879710953304,20.175002394907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_86_Pos,38.2999584253287,19.2801925004456,50.424301499718,20.7677327709866,12.9959010815442,12.4726692662927,22.592161837143,28.2022412634186,26.4055172732746,55.1691880176942,42.6699268022473,16.3545127349958,13.4618768723751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_87_Pos,36.3749581565492,22.0044792552339,57.4236073388576,25.8429331721522,13.6728227397515,17.5312613914857,24.8824138941661,31.1726234943511,29.3216199058506,59.7007414032165,48.2989707014638,12.3466133445897,18.2465576995135,14.3767504884514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_88_Pos,24.9208239497652,19.8381379073099,53.8264689606468,40.1611411082262,20.6097874888934,19.5337670091657,29.5810344321382,34.7940473443532,42.6634053835578,52.4017798378204,47.0886895700476,21.3367644460333,35.1982547472531,23.6728079446618,25.7236668050233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_89_Pos,62.7619083447275,47.2361318017699,19.4680553388795,35.3938394720687,43.1838492386898,40.9007638843255,33.3270888350822,34.3103497178422,31.2666573398359,37.6042838202908,25.3776447210909,59.9210602624497,58.3255082590747,49.7461448102501,54.2364667130993,52.6635165570031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_90_Pos,52.4200498927208,37.9060197151282,18.4978784464494,38.7351108722693,36.886586338978,34.2790916669163,25.8612564271321,27.8978378785453,35.5101864280636,26.3935429448808,22.3381290660001,53.639175640046,54.189989860818,43.9178931188208,47.4048097855629,45.2151183653874,20.6378577503523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_91_Pos,46.3575224205578,24.5582810942917,34.2225593331391,26.0609115498066,18.2000889507864,19.9457198654579,12.2046953391535,16.3538645986249,24.1182525999174,35.5243571761,25.832073516968,35.1838224364152,31.6886581965801,25.3344607877597,27.7888208951706,31.020547694929,33.244394409622,27.4458402055055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_92_Pos,35.0408812781631,17.3489147084815,40.2166458301984,28.5631042879232,15.9360176452599,15.1542725619468,18.159231310813,23.5847557572675,30.5171803180543,32.3985116354496,29.0655837007701,25.6957199966155,31.6827412586241,19.5047029491534,25.4648350390197,22.0258453194461,41.2511580379205,31.8885937823208,18.3477293841595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_93_Pos,53.6579521626847,34.3895498952419,33.9090306533013,21.4435397737009,24.6184902169692,22.7504640999894,16.9717882725224,23.4662684045066,16.5573181246894,39.9572256099656,26.4917536593956,40.7947351510678,34.987635380266,27.6777354802707,33.2623514685168,39.9484047030327,24.801997843402,26.3659693395548,18.0596873307019,26.3075549003563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_94_Pos,50.254827453138,33.383569651684,21.3175574114411,31.8227321592622,28.9041781026852,31.1176071074428,22.1107205991152,22.5377008517041,29.2171998505328,33.3504356337513,24.6535710306176,42.9383974707761,40.9318843034136,34.1592669307682,33.2170273904108,35.4512533885457,22.6505846488028,20.5965588433882,19.5668188443943,28.7043017446862,21.6493646475696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_95_Pos,24.6033736121997,18.3822574303167,47.9291027435534,33.8900796712331,16.3147508137928,17.2991713550815,23.080356006428,30.1227855026087,34.1738357953703,49.7925592052711,42.3809916519675,20.2142227920804,27.1390907300842,23.8774753700496,23.1977060733213,20.3382281372713,51.7595999227507,37.6722366503359,25.3671207632553,20.6368849380297,35.2326507932696,35.4582052393483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_96_Pos,45.0413848926721,31.8716462745261,31.9181255443528,41.1622037281865,31.9016983355523,28.9108708466822,26.1637240015475,28.9629994138849,41.8375335952458,22.7444534198531,21.6145235752244,45.6313221898265,49.2132962631878,37.2891551890554,43.9119876597691,32.7392287869609,36.2188016500513,28.4824372078099,27.7921583450506,21.2030984900634,33.6470053662465,29.5243845393179,32.4966692810395,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_97_Pos,76.200478375676,92.2078262419945,52.4196853939706,93.1132627813715,99.3872734771478,85.1052986921668,83.7209526291925,93.1080629257359,91.0049689068904,78.9976814511498,79.8810278118878,104.069627209409,113.242890747084,101.725223748505,111.555343930858,92.0182786750699,61.3670622382822,56.9256023171298,90.7199819243545,96.0727045216438,88.8408546217334,62.0068951130723,80.9877368932316,86.8413555720411,NA,NA,NA,NA,NA,NA,NA,NA
S_98_Pos,78.4571763509253,83.7012239806911,46.9887119492068,82.4512651937425,91.5487440483918,77.8260672854916,76.3353003442008,78.9797592489773,82.6448171061581,78.1217842022966,72.4262128660665,97.2664250451357,107.101267810834,94.3249345488,103.381180263149,84.6493282545005,52.75527361713,52.7258612632551,83.0076352571706,88.4394386988713,76.2835284717178,56.137556695065,77.5520492397407,76.3844082661166,5.72653600858509,NA,NA,NA,NA,NA,NA,NA
S_99_Pos,23.6540774967274,14.4133828952867,55.0030034891104,34.5799666774863,16.0716285732623,15.5660025343955,25.2480751482672,33.4004088945193,37.6242786587936,59.5305510960944,51.5280447141647,14.4834718134563,27.0703713067329,19.8814938215973,18.9734478515745,17.1065875089161,55.6798800108645,48.5298693787967,30.4246132707939,22.9113482526754,38.4479180213796,35.8580802073887,14.170546606459,39.5896015882152,91.5558097540712,85.1611461882555,NA,NA,NA,NA,NA,NA
