,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,0,-1,1,1,-1,-1,1,0.98,1,0.98,1,-1,1,-0.92,0.74,-1,1,0.62,1,-0.99,1,-0.54,-0.94,1,1,1,-1,1,1,1,0.93,0.4
S_74_Pos,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-0.1,0.72,1,-1,-1
S_75_Pos,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-0.48,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-0.97,-1,-1,-1,-1,1
S_76_Pos,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.99,-1,1,1,-1,1,1,1,-0.9,-1
S_77_Pos,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.96,1,1,-1,-1
S_78_Pos,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.99,0.98,1,-1,-1
S_79_Pos,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.13,1,1,-1,-1
S_80_Pos,0.98,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0.56,-1,-1
S_81_Pos,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.94,-1,1,1,-1,-0.08,-1,0.21,-1,-1
S_82_Pos,0.98,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.57,0.99,-1,-0.99,-1,-1,-1,-1,-1,-1,-1,-0.53,-1,1,0.99,-0.97,-1,0.8,0.99,-1,-0.32
S_83_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.04,-0.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.89,-1,-1,-1,-1,-1,-1,-0.98
S_84_Pos,-1,-1,1,-1,-1,-1,-1,-1,-1,0.57,-0.04,0,-1,-1,-1,-1,1,-0.1,-1,-1,-0.58,-0.99,-1,-0.98,1,1,-1,1,1,1,1,-1
S_85_Pos,1,-1,1,-1,-1,-1,-1,-1,-1,0.99,-0.66,-1,0,-1,-1,-1,1,-0.83,-1,-1,-1,-1,0.76,-0.54,1,1,-1,1,1,1,1,-1
S_86_Pos,-0.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-0.97,-1
S_87_Pos,0.74,-1,-0.48,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-1,0,-1,0.4,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.34,-1
S_88_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.71,0.36,1,-1,-1
S_89_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.4,-1,0,-1,-1,-1,-1,-1,0.93,-1,-1,-1,0.77,-1,-1,-1,-1,1
S_90_Pos,0.62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.1,-0.83,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99
S_91_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-0.41,1,-1,-1
S_92_Pos,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-0.91,0.9,1,-1,-1
S_93_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.58,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0.92,-1,-1,-1,-1,-1,-1
S_94_Pos,-0.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.07,-1,-1,-1,-1,-1,-1,-1
S_95_Pos,-0.94,-1,-0.99,0.99,-1,-1,-1,-1,0.94,-0.53,-1,-1,0.76,-1,-1,-1,0.93,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,1,1,-0.98,-1
S_96_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.98,-0.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0.91,-1,-1,-0.7,0.81,-1,-1
S_97_Pos,1,1,-1,1,1,1,1,1,1,1,-0.89,1,1,1,1,1,-1,-1,1,1,1,0.07,1,1,0,-1,1,-1,-1,-1,-1,1
S_98_Pos,1,1,-1,1,1,1,1,1,1,0.99,-1,1,1,1,1,1,-1,-1,1,1,0.92,-1,1,0.91,-1,0,1,-1,-1,-1,-1,1
S_99_Pos,-1,-1,-0.97,-1,-1,-1,-1,-1,-1,-0.97,-1,-1,-1,-1,-1,-1,0.77,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,-1
S_100_Pos,1,-0.1,-1,1,0.96,0.99,0.13,-1,-0.08,-1,-1,1,1,1,1,0.71,-1,-1,-1,-0.91,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1
S_101_Pos,1,0.72,-1,1,1,0.98,1,-1,-1,0.8,-1,1,1,1,1,0.36,-1,-1,-0.41,0.9,-1,-1,1,-0.7,-1,-1,1,-1,0,-1,-1,1
S_102_Pos,1,1,-1,1,1,1,1,0.56,0.21,0.99,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,0.81,-1,-1,1,-1,-1,0,-1,1
S_103_Pos,0.93,-1,-1,-0.9,-1,-1,-1,-1,-1,-1,-1,1,1,-0.97,0.34,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-1,-1,-1,-1,-1,-1,0,1
S_104_Pos,0.4,-1,1,-1,-1,-1,-1,-1,-1,-0.32,-0.98,-1,-1,-1,-1,-1,1,-0.99,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,0
