,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.84,-0.86,1,-1,-1
S_74_Pos,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.96,-1,-1,-1,-1,-1,-1,-1
S_75_Pos,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0.04,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99
S_76_Pos,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.93,-1,-1,-0.73,-1
S_77_Pos,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.88,0.47,-1,-1,-1,-1,-1,-1
S_78_Pos,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.99,0.96,-1,-1,-1,-1,-1,-1
S_79_Pos,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_80_Pos,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_81_Pos,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-0.59,-1,-1,-1,-1
S_82_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_83_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_84_Pos,-1,-1,0.04,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1
S_85_Pos,-1,-1,1,-1,-1,-1,-1,-1,-1,0.34,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0.99,1,1,-1
S_86_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-0.27,-0.75,-1
S_87_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0.2,1,0.32,-1
S_88_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0.17,-1,-1,-1,-1,-1,-1
S_89_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_90_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_91_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_92_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_93_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_94_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_95_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,-0.78,-1,0.87,-1,-1
S_96_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
S_97_Pos,1,-0.96,-1,1,0.88,0.99,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1
S_98_Pos,1,-1,-1,1,0.47,0.96,-1,-1,1,-1,-1,1,1,1,1,0.17,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,1
S_99_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0.2,-1,-0.55,-1,-1
S_100_Pos,0.84,-1,-1,0.93,-1,-1,-1,-1,-0.59,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-0.78,-1,-1,-1,0.2,0,-1,-1,-1,1
S_101_Pos,-0.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.99,-1,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.94
S_102_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-0.27,1,-1,-1,-1,-1,-1,-1,-1,0.87,-1,-1,-1,-0.55,-1,-1,0,-1,1
