,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,0,-1,1,1,-1,-1,1,0.94,1,0.87,1,-1,1,-0.97,-0.28,-1,1,0.96,1,-0.95,1,-0.2,-1,0.97,1,1,-1,1,1,1,0.99,-0.01
S_74_Pos,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.89,0.76,1,-1,-1
S_75_Pos,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-0.94,-0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.18,-1,-1,-1,-1,1
S_76_Pos,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,-1,1,1,-1,1,1,1,-0.89,-1
S_77_Pos,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1
S_78_Pos,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.79,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1
S_79_Pos,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.99,1,1,-1,-1
S_80_Pos,0.94,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.98,-1,-1,-1,-0.34,-1,-1
S_81_Pos,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27,-1,1,1,-1,0.46,-0.99,-0.13,-1,-1
S_82_Pos,0.87,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.34,-0.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91,-1,1,0.54,-0.98,-1,-0.26,0.88,-1,-0.76
S_83_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.79,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.85
S_84_Pos,-1,-1,1,-1,-1,-1,-1,-1,-1,0.34,0.79,0,-1,-1,-1,-1,1,1,-1,-1,0.56,-0.7,-1,-0.94,1,1,-1,1,1,1,1,-1
S_85_Pos,1,-1,1,-1,-1,-1,-1,-1,-1,-0.38,-0.99,-1,0,-1,-1,-1,1,-0.61,-1,-1,-1,-1,-0.8,-0.99,1,1,-1,1,1,1,1,-1
S_86_Pos,-0.97,-1,-0.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.12,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-0.36,-1
S_87_Pos,-0.28,-1,-0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.82,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.36,-1
S_88_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.97,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.98,0.49,1,-1,-1
S_89_Pos,1,-1,-1,-1,-1,-0.79,-1,-1,-1,-1,-1,1,1,0.12,0.82,-0.97,0,-1,-1,-1,-1,-1,0.95,-1,-1,-1,1,-1,-1,-1,-1,1
S_90_Pos,0.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-0.61,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.1
