,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,0,-1,-0.38,-1,-1,-1,-0.83,-1,-0.94,-1,-1,-1,-1,-1,-1,-1,0.52,-1,0.3,-1,-1,-1,-0.58,-1,1,1,-1,-0.21,0.65,1,-1,-1
S_74_Pos,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.49,-1,-1,-1,-1,-1,-1,-1
S_75_Pos,-0.38,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-0.38,-0.67,-1,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.43
S_76_Pos,-1,-1,-1,0,-1,-1,-0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.96,-1,-1,-1,0.48,-1,1,0.96,-1,-0.94,-1,-0.76,-1,-1
S_77_Pos,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.81,-0.79,-1,-1,-1,-0.96,-1,-1
S_78_Pos,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29,-0.96,-1,-1,-1,-1,-1,-1
S_79_Pos,-0.83,-1,-1,-0.7,-1,-1,0,-1,-1,-1,-1,-0.97,-0.98,-1,-1,-1,-0.96,-1,-1,-1,-1,-1,-1,-1,0.68,0.91,-1,-1,0.22,0.96,-1,-0.98
S_80_Pos,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_81_Pos,-0.94,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.78,-1,0.97,-0.1,-1,-1,-1,-1,-1,-1
S_82_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-1,-1,-1,-1,-1,-1
S_83_Pos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S_84_Pos,-1,-1,-0.38,-1,-1,-1,-0.97,-1,-1,-1,-1,0,-1,-1,-1,-1,0.1,-1,-0.99,-1,-1,-1,-0.98,-1,1,1,-1,0.31,0.7,0.99,-0.98,-1
