,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_74_Pos,3.87862565658048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_75_Pos,9.04437042336077,7.72430404994167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_76_Pos,12.661216897748,6.81518818285913,5.24305747525494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_77_Pos,4.9607687912306,3.1089749411643,5.99091831527818,6.98432108189525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_78_Pos,4.25311083159324,2.50085054969315,6.08686891142068,7.96837513196222,0.954441213494116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_79_Pos,7.07107250670412,3.72624668818238,6.18776932622721,4.79467855216345,-0.130151976304412,2.20931809868518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_80_Pos,7.20937704392985,4.5727852168273,4.450327313195,3.83232438017938,2.92986121837859,1.21328255040049,2.09567016391292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_81_Pos,15.7782981441764,11.1156721393301,5.27091693993661,2.96529670626196,6.8628203188692,10.2696803482763,3.83954227065633,5.80586172282111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_82_Pos,5.15903234210013,3.00273391210309,4.8880965869096,8.03873365575965,1.9220874948574,1.43585817596548,2.11491598354569,1.83565028187931,9.03550469778871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_83_Pos,5.47988100201762,3.69062878849958,2.84092815125953,3.19244702816721,4.28482930867851,2.85667953030799,5.71501071018457,3.07290573415608,7.70830351242773,1.80854802608153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_84_Pos,2.391160277618,3.14956283818203,6.13946193708543,6.5361045588682,3.03722165395849,4.35733529557708,5.93377092698524,4.22028620987969,9.48518638277019,8.14436284877591,3.93739712121022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_85_Pos,7.23177492328375,3.443658897107,4.60199399178827,3.09436268343047,3.95696607116174,4.44718757525461,3.87052757420377,2.49954401736068,3.74558421061554,5.80269051029478,2.43852851369158,2.57785609306317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_86_Pos,6.40794195306336,2.76125675276993,3.09446192913408,6.3178781676145,4.06306894023991,2.94905255635103,3.20309008818484,1.97002142045366,5.73625233876946,5.56962364317782,1.82861723283319,2.50955246474931,2.65475494437255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_87_Pos,5.71506601411368,3.74027308852639,5.85179717461085,5.79157494251973,5.32865178474201,6.51176255124206,6.24369524241517,4.42986932446512,7.70051270047403,9.08469730770494,3.42947717730961,-0.186959486978743,-0.152352298163541,4.22307201530116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_88_Pos,2.74860919337842,4.49972853013869,5.6791082387307,9.97751841230487,4.13398265424463,4.48030580295062,3.02676726675118,6.01297105751754,9.48803157850843,5.1564792027478,5.48188705115008,1.79160874733971,4.53784074968511,1.19986641756628,3.50176141542797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_89_Pos,15.0990880910912,13.6120385164291,6.35637264772526,5.30254833679911,11.6199041560211,13.2167982744225,8.79894186954244,11.0024243233129,4.15022627380253,10.8609440415057,9.37238174254531,9.7158423222954,6.61834295942179,6.34331226690795,8.65753501944604,11.5733467395076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_90_Pos,8.9263510518074,7.35007316402755,5.46997094214046,6.96561875272523,3.46639243137019,5.56356478107431,1.89887712526037,4.23515712381602,7.1212667551606,2.5593933181729,5.96443429957881,6.02055208206302,6.00266799721156,4.24542924147729,6.55332842977129,5.60624270268344,9.80413969121394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_91_Pos,5.19065499793096,5.16161570764343,7.22580935554764,5.58074893865309,2.34592394594233,4.5224373018046,1.41930781676992,4.85260590478581,6.52596669696064,3.77914540041519,6.16733971286355,3.09443257468035,2.81699264291862,2.19563075339227,3.80411085443311,1.76083278769718,10.1351124351017,4.27423653138116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_92_Pos,3.87065451690167,2.76524988223312,7.21071061322225,7.30644590722057,2.30273523529871,1.3638798807793,4.74379692987418,3.6598956599085,9.76612933371484,4.60140239732683,4.30781818931384,1.9562285777871,4.00978449671613,1.16528019915372,3.65890534415437,3.90298729553503,13.1883928347488,7.04403402935549,4.21659680806659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_93_Pos,11.8778708043348,6.28738792201775,3.41957325592739,4.52769724047545,4.8358375284559,6.08254511773344,1.78252536662896,4.0812715216473,2.97305696486651,5.73747845641403,6.63375537003031,5.78017697240957,3.57310483467918,1.86126825223414,5.23252428109289,6.37594199291734,4.11696746550403,3.71665914084675,2.98292144470022,7.18828729362522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_94_Pos,8.11285789629038,8.12873247505344,5.84817964082046,7.87932153246234,4.96074086598055,7.25473889990094,2.31976720394162,7.21722515967023,6.34746858272992,6.4891644055418,8.80973158704677,8.40446949140024,7.37367109537403,5.80538493058798,10.0512330266644,5.09756532125514,6.6552312013252,1.36699167400808,3.22213961793652,9.53318791280538,3.31828490696964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
