,S_73_Pos,S_74_Pos,S_75_Pos,S_76_Pos,S_77_Pos,S_78_Pos,S_79_Pos,S_80_Pos,S_81_Pos,S_82_Pos,S_83_Pos,S_84_Pos,S_85_Pos,S_86_Pos,S_87_Pos,S_88_Pos,S_89_Pos,S_90_Pos,S_91_Pos,S_92_Pos,S_93_Pos,S_94_Pos,S_95_Pos,S_96_Pos,S_97_Pos,S_98_Pos,S_99_Pos,S_100_Pos,S_101_Pos,S_102_Pos,S_103_Pos,S_104_Pos
S_73_Pos,0,-0.95,1,1,-0.16,-0.75,0.89,1,1,0.88,0.99,-0.94,1,0.95,1,-1,1,0.92,0.93,0.96,1,0.55,-1,0.97,1,1,-1,1,1,1,1,1
S_74_Pos,-0.95,0,-0.43,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-1,-1,-1,-1,0.56,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.38,-1
S_75_Pos,1,-0.43,0,-0.88,-0.99,0.58,-1,-1,-1,-1,-1,1,0.99,-0.27,-0.84,-0.42,-1,-1,-1,-1,-1,-1,0.52,-1,-1,-1,1,-1,-1,-1,-1,1
S_76_Pos,1,-1,-0.88,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.79,-1,-1,-1,-1,-1,-1,0.98,-1,1,1,-0.47,1,1,1,0.91,-1
S_77_Pos,-0.16,-1,-0.99,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-0.5,-1
S_78_Pos,-0.75,-1,0.58,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.94,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.99,-1
S_79_Pos,0.89,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1
S_80_Pos,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1
S_81_Pos,1,-0.99,-1,-1,-1,-1,-1,-1,0,-1,-1,-0.18,-1,-1,-1,-0.07,-1,-1,-1,-1,-1,-1,1,-0.99,1,1,0.81,1,0.85,1,-0.3,-1
S_82_Pos,0.88,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-0.98,-0.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.97,-1,1,1,0.08,-1,0.77,0.88,-1,-1
S_83_Pos,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,1,1,-0.69,-1,-0.82,-0.51,-1,-1
S_84_Pos,-0.94,-1,1,-1,-1,-1,-1,-1,-0.18,-0.98,-0.99,0,-1,-1,-1,-1,1,0.31,-1,-1,-0.98,-0.98,-1,-1,1,1,-1,1,1,1,1,-1
S_85_Pos,1,-1,0.99,-1,-1,-1,-1,-1,-1,-0.95,-1,-1,0,-1,-1,-1,-0.58,-1,-1,-1,-1,-1,-0.35,-1,1,1,-0.99,1,1,1,1,-1
S_86_Pos,0.95,-1,-0.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-0.86,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.91,-1
S_87_Pos,1,-1,-0.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.61,-1
S_88_Pos,-1,-1,-0.42,-0.79,-1,-1,-1,-1,-0.07,-1,-1,-1,-1,-1,-1,0,0.39,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0.44,-1
S_89_Pos,1,0.56,-1,-1,-1,0.94,-1,-1,-1,-1,-1,1,-0.58,-0.86,-1,0.39,0,-1,-1,-1,-1,-1,0.99,-1,-0.38,-0.97,1,-1,-1,-1,-1,0.98
S_90_Pos,0.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-0.79,-1,-0.33,-0.86,-0.46,-1,-1,-1,-1,-0.98
S_91_Pos,0.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,0.86,0.99,1,-1,-1
S_92_Pos,0.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,1,1,-0.98,-1
S_93_Pos,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.03,-1,1,1,-0.48,-0.05,-0.38,0.93,-1,-1
S_94_Pos,0.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.92,-1,0.92,0.77,-0.64,-1,-1,-1,-1,-1
S_95_Pos,-1,-1,0.52,0.98,-1,-1,-1,-1,1,-0.97,-0.99,-1,-0.35,-1,-1,-1,0.99,-0.79,-1,-1,0.03,-0.92,0,-1,1,1,-1,1,1,1,0.88,-1
S_96_Pos,0.97,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-0.98,-0.01,1,1,-1,-1
S_97_Pos,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.38,-0.33,1,1,1,0.92,1,1,0,-1,1,-1,-1,-1,-1,1
S_98_Pos,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.97,-0.86,1,1,1,0.77,1,1,-1,0,1,-1,-1,-1,-1,1
S_99_Pos,-1,-1,1,-0.47,-1,-1,-1,-1,0.81,0.08,-0.69,-1,-0.99,-1,-1,-1,1,-0.46,-1,-1,-0.48,-0.64,-1,-0.98,1,1,0,1,1,1,1,-1
S_100_Pos,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,0.86,1,-0.05,-1,1,-0.01,-1,-1,1,0,-1,-1,-1,1
S_101_Pos,1,1,-1,1,1,1,1,1,0.85,0.77,-0.82,1,1,1,1,1,-1,-1,0.99,1,-0.38,-1,1,1,-1,-1,1,-1,0,-1,-1,1
S_102_Pos,1,1,-1,1,1,1,1,1,1,0.88,-0.51,1,1,1,1,1,-1,-1,1,1,0.93,-1,1,1,-1,-1,1,-1,-1,0,-1,1
S_103_Pos,1,0.38,-1,0.91,-0.5,0.99,-1,-1,-0.3,-1,-1,1,1,0.91,0.61,0.44,-1,-1,-1,-0.98,-1,-1,0.88,-1,-1,-1,1,-1,-1,-1,0,1
S_104_Pos,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.98,-0.98,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,0
