Genome	DNA-1-S1-22_S63_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1-22_S958_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1_S67_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S1_S962_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2-22_S64_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2-22_S959_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2_S68_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S2_S963_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3-22_S65_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3-22_S960_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3_S69_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S3_S964_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4-22_S66_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4-22_S961_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4_S70_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-1-S4_S965_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S1_S71_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S1_S966_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S2_S72_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S2_S967_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S3_S73_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S3_S968_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S4_S74_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-3-S4_S969_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S1_S75_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S1_S970_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S2_S76_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S2_S971_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S3_S77_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S3_S972_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S4_S78_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-4-S4_S973_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S1_S79_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S1_S974_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S2_S80_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S2_S975_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S3_S81_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S3_S976_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S4_S82_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-5-S4_S977_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S1_S83_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S1_S978_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S2_S84_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S2_S979_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S3_S85_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S3_S980_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S4_S86_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-6-S4_S981_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S1_S87_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S1_S982_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S2_S88_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S2_S983_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S3_S89_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S3_S984_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S4_S90_L000_R1_001.anqdpht.fastq.gz Trimmed Mean	DNA-8-S4_S985_L000_R1_001.anqdpht.fastq.gz Trimmed Mean
DNA-1-22_bin_14	0	0	0	0	0.24186029	0.21524103	0.24402513	0.20968613	0.75244755	0.6805982	0.156184	0.14732309	0.6702631	0.6050023	1.3275961	1.2511195	0.12506069	0.11950683	1.7441734	1.5913262	0.21983382	0.21140882	0.7139396	0.63247347	0.35772073	0.33479953	0.24101354	0.22996221	0.12438518	0.117442735	0.30808318	0.27522674	0.27139506	0.25761196	0	0	0.12042351	0.10648954	0.2279571	0.19409211	0	0	0.55139154	0.5158122	0.25354952	0.2165132	0.30088755	0.28141016	0.69469035	0.6221013	0.47596374	0.42033538	0.12910797	0.10751428	0.426298	0.38306415
DNA-1-22_bin_2	0.35282522	0.3254504	0.6091425	0.5312001	1.6879119	1.5655733	1.6349171	1.466048	6.0448833	5.483945	1.3795959	1.2528179	5.444823	5.0192676	10.165831	9.403025	0.58414316	0.52892566	8.564773	7.8502083	1.5964539	1.446744	7.2474465	6.6097445	1.5111043	1.3772585	1.2235366	1.1505859	0.90652573	0.8159352	1.5344741	1.3973486	1.8851533	1.7205797	0	0	0.5491777	0.47258934	2.4863737	2.2558181	0.07963407	0	1.0853868	0.9785215	0.72619987	0.6430166	2.1882257	2.0454273	5.9241166	5.4067144	4.6482058	4.20239	0.9172997	0.845028	3.116417	2.8281457
DNA-1-22_bin_3	10.972371	9.966912	17.172884	15.641146	3.2456954	2.942429	3.2611873	2.8976307	3.7968729	3.4252098	3.3321521	3.0432827	3.4344716	3.0938625	6.316484	5.768449	8.971899	8.300109	25.401253	22.868303	2.8793766	2.6120088	10.709365	9.756924	9.229099	8.49318	6.452459	5.837374	2.130127	1.9438434	9.713415	8.871523	7.47271	6.8720756	3.428768	3.1482882	3.992964	3.6300142	8.035523	7.3699555	2.8323364	2.5859027	22.85807	20.977894	8.281149	7.5386024	6.8591957	6.2903175	3.0712254	2.7877963	3.2216535	2.9217784	5.6228933	5.151223	9.562636	8.568187
DNA-1-22_bin_6_1	28.324558	26.1402	39.27356	36.63814	10.345395	9.665496	8.66889	7.8611846	24.279118	22.440964	15.540195	14.549662	21.804052	20.150806	39.998383	37.557842	31.467981	29.28526	69.78057	64.476746	18.774792	17.74874	27.59712	25.717094	38.997543	36.188877	22.004536	20.492514	18.790058	17.521065	14.604866	13.504642	31.802654	29.926546	10.436643	9.638979	21.29278	19.662134	18.270632	17.055779	4.4951425	4.1831737	35.00574	32.757366	41.405186	38.50251	13.2332	12.304411	39.67183	36.700317	31.832087	29.306622	21.405895	19.958954	24.138115	22.048065
DNA-1_bin_10_1	0.67259985	0.62948644	1.5852343	1.4421065	3.0072198	2.783442	2.825008	2.5109994	3.6607735	3.2923226	3.046338	2.8071542	3.3446841	3.0015135	6.2145796	5.667968	1.6972754	1.5318313	6.218726	5.6082883	4.3675327	3.969673	9.09771	8.412317	3.2871785	2.9406443	1.3748763	1.2451416	2.077704	1.8891517	3.362588	2.9635153	3.7959194	3.4695582	0.31985927	0.26989388	1.9539988	1.7533258	3.9597867	3.6353283	0.08457856	0.07367883	4.0231752	3.6688554	2.9915435	2.6581948	4.0909944	3.775441	6.468885	5.942139	3.5000682	3.1110106	2.7179832	2.3983335	5.5222178	4.938405
DNA-1_bin_13_1	1.5580024	1.3894631	2.9693816	2.6858697	0	0	0.15272349	0.1260192	0	0	0.22171493	0.20235191	0	0	0	0	0.5858042	0.5434207	0	0	0.23338018	0.20825915	0	0	0.63798314	0.5811148	0	0	0	0	0	0	0.08128636	0	0	0	0.5957454	0.5471919	0	0	2.4948997	2.2812023	0	0	0.27864075	0.24260552	0	0	0	0	0	0	0	0	0	0
DNA-1_bin_18	0.4604462	0.42993096	1.7630223	1.6061907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44395277	0.41862002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-1_bin_22_1	3.12222	2.8422837	2.9501796	2.6661906	0	0	0	0	0	0	0.08483007	0.07209767	0	0	0	0	0.06619003	0	0	0	0	0	0.14970958	0.13298084	0.1462945	0.12669237	0	0	0	0	0.4311286	0.39641982	0	0	0	0	0.07274126	0	0	0	0	0	0	0	0.17648904	0.15588291	0	0	0	0	0	0	0.11295183	0.094559535	0.12438645	0.10200993
DNA-1_bin_24_1	16.954908	15.369008	28.122677	25.614838	2.3489165	2.1081555	1.9784851	1.7635577	0	0	2.6035905	2.4062788	0	0	0.097643174	0.08565838	6.749873	6.178071	0.2507605	0.23534364	1.6999032	1.5728154	5.9884806	5.4989095	4.8596506	4.44639	0	0	2.0857682	1.9203442	6.7284045	6.1404448	0.9285031	0.8355499	9.435857	8.6512	2.4136453	2.2036436	0.18671332	0.17546928	19.229177	17.66781	0.60153234	0.53394806	2.4284675	2.2354012	0.3306981	0.30058983	0.27895206	0.25405622	0	0	6.2409873	5.704244	1.0612203	0.94009405
DNA-1_bin_29_1	7.2351055	6.614198	10.988882	9.924166	0.40134758	0.35602266	0.62733585	0.5479706	0	0	0.84030515	0.7612911	0	0	0	0	2.9733832	2.7283547	0	0	0.5780024	0.5049848	2.5526013	2.2824404	3.9437106	3.6502821	0	0	3.693813	3.4082963	4.441183	4.081349	0.25049314	0.24266516	0.62082714	0.5614074	1.2138106	1.08548	0.1575855	0.14569722	0.48687193	0.45215824	0	0	0.90816075	0.8537852	0.3995968	0.36556074	0	0	0	0	1.9919834	1.8327872	0.3047182	0.2729161
DNA-1_bin_3	5.62606	5.0924416	11.479572	10.310801	4.80504	4.3033185	5.678667	5.053458	0.085566536	0.07347317	7.382315	6.7122364	0.0724686	0	0.18590142	0.16447471	3.1114674	2.8430843	0	0	5.007068	4.6148715	5.757819	5.248131	4.0537577	3.6611793	0	0	4.842028	4.390364	5.318925	4.85618	2.1756377	1.9797196	4.301737	3.9847453	4.501783	4.1602325	0.9790051	0.8775304	3.4138203	3.076034	0	0	3.5778654	3.2187862	0.7055709	0.63740623	3.4727614	3.1043756	0	0	8.74251	8.047991	0.85090643	0.76533186
DNA-1_bin_30	0.99967295	0.90805006	1.9470636	1.7552369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
