Sample_ID,total_C,total_N,Na,Mg,K,Ca,V,Cr,Fe,Co,As,Se,ph_mean,moisture,sampling,site,month,stage
SAMP1_S1,1.335,0.1,52.09,2639.91,1715.41,2773.89,16.63,6.39,9067.6,3.8,24.14,1.16,7.595,2.911966692,samp1,s1,may,Pre_monsoon
SAMP1_S2,0.8,0.07,35.31,1391.1,1396.77,994.95,9.35,3.42,4599.24,1.98,8.28,0.56,7.835,2.911966692,samp1,s2,may,Pre_monsoon
SAMP1_S3,1.25,0.11,48.18,2131.94,1582.51,2378.99,13.1,5.23,6714.91,2.98,11.55,0.8,7.845,2.911966692,samp1,s3,may,Pre_monsoon
SAMP1_S4,1.87,0.15,51.38,3292.08,2533.25,5636.27,16.68,6.81,8633.89,3.2,15.15,0.63,8.47,2.911966692,samp1,s4,may,Pre_monsoon
SAMP2_S1,1.34,0.1,38.75,2849.02,1547.42,3105.92,13.4,6.28,11094.32,3.93,14.58,0.79,7.635,3.086053412,samp2,s1,june,Pre_monsoon
SAMP2_S2,1.69,0.13,44.41,3616.37,2621.06,5402.48,17.64,8.27,13687.64,4.5,19.78,0.41,8.465,3.674588665,samp2,s2,june,Pre_monsoon
SAMP2_S3,1.43,0.12,93.25,5618.48,3102.2,7700.25,26.8,12.07,21000.93,7.05,22.39,0.69,8.005,2.756339581,samp2,s3,june,Pre_monsoon
SAMP2_S4,1.51,0.12,53.07,2777.77,2643.88,3049.25,17.59,7.29,11592.2,4.31,18.98,0.48,7.72,1.328502415,samp2,s4,june,Pre_monsoon
SAMP3_S1,1.61,0.12,64.56,4519,2792.65,6020.65,23.54,10.32,18420.5,6.34,37.2,0.75,8.11,13.81796452,samp3,s1,july,During_monsoon
SAMP3_S2,1.535,0.12,40.06,2798.85,2408.5,3674.06,11.91,5.39,8001.02,2.77,13.65,0.46,8.62,12.30951802,samp3,s2,july,During_monsoon
SAMP3_S3,2.02,0.16,74.61,4722.11,2823.74,8861.95,24.09,9.97,20145.67,6.47,27.28,0.64,8.19,12.2869533,samp3,s3,july,During_monsoon
SAMP3_S4,1.12,0.1,77.84,3215.3,2669.36,3843.75,18.31,7.72,12481.98,4.51,18.84,0.85,7.935,5.098245583,samp3,s4,july,During_monsoon
