system:time_start,NDVI
"May 9, 2021","1,386"
"May 25, 2021","1,544"
"Jun 10, 2021","1,527"
"Jun 26, 2021","1,948"
"Jul 12, 2021","3,742"
"Jul 28, 2021","4,373"
"Aug 13, 2021","5,386"
"Aug 29, 2021","3,875"
"Sep 14, 2021","3,085"
"Sep 30, 2021","2,645"
"Oct 16, 2021","2,694"
"Nov 1, 2021","2,569"
"Nov 17, 2021","2,469"
"Dec 3, 2021",
"Dec 19, 2021",
"Jan 1, 2022","2,501"
"Jan 17, 2022","2,675"
"Feb 2, 2022","2,557"
"Feb 18, 2022","2,368"
"Mar 6, 2022","2,319"
"Mar 22, 2022","1,837"
"Apr 7, 2022","1,816"
"Apr 23, 2022","1,848"
"May 9, 2022","1,806"
"May 25, 2022","1,669"
