WBANNO,LST_DATE,CRX_VN,LONGITUDE,LATITUDE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_MEAN,T_DAILY_AVG,P_DAILY_CALC,SOLARAD_DAILY,SUR_TEMP_DAILY_TYPE,SUR_TEMP_DAILY_MAX,SUR_TEMP_DAILY_MIN,SUR_TEMP_DAILY_AVG,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG,SOIL_MOISTURE_5_DAILY,SOIL_MOISTURE_10_DAILY,SOIL_MOISTURE_20_DAILY,SOIL_MOISTURE_50_DAILY,SOIL_MOISTURE_100_DAILY,SOIL_TEMP_5_DAILY,SOIL_TEMP_10_DAILY,SOIL_TEMP_20_DAILY,SOIL_TEMP_50_DAILY,SOIL_TEMP_100_DAILY
53131,20210101,2.623,-111.17,32.24,15.5,2.8,9.2,9.3,0,12.82,C,26.4,2.3,10.6,36.2,16.7,24.9,0.019,0.042,-99,-99,-99,12.5,12.3,-9999,-9999,-9999
53131,20210102,2.623,-111.17,32.24,16.4,1,8.7,8.9,0,12.02,C,27.6,-0.8,8.7,43.4,14.2,26.8,0.018,0.04,-99,-99,-99,11.3,11.3,-9999,-9999,-9999
53131,20210103,2.623,-111.17,32.24,17.8,0.5,9.2,9.4,0,13.05,C,28.9,-0.8,9.7,42.9,13.3,25.7,0.018,0.04,-99,-99,-99,11.7,11.5,-9999,-9999,-9999
53131,20210104,2.623,-111.17,32.24,20.1,2.3,11.2,11.2,0,13.09,C,29.4,1.2,11.2,42.8,14.4,26.3,0.018,0.04,-99,-99,-99,12.8,12.4,-9999,-9999,-9999
53131,20210105,2.623,-111.17,32.24,20.1,4.7,12.4,12.4,0,13.27,C,29.3,2.2,11.9,44.6,14.7,26.9,0.018,0.04,-99,-99,-99,13.4,13,-9999,-9999,-9999
53131,20210106,2.623,-111.17,32.24,20.5,2.7,11.6,11.1,0,13.49,C,29.2,0.5,10.8,46.6,9.5,25.4,0.017,0.039,-99,-99,-99,12.8,12.5,-9999,-9999,-9999
53131,20210107,2.623,-111.17,32.24,21.1,3.1,12.1,11.4,0,13.28,C,29.9,1.1,11.1,32.9,6.9,19.3,0.017,0.039,-99,-99,-99,12.9,12.6,-9999,-9999,-9999
53131,20210108,2.623,-111.17,32.24,22.8,4.4,13.6,12.6,0,12.92,C,31.9,1.5,12,25.8,6,16.3,0.017,0.039,-99,-99,-99,13.7,13.2,-9999,-9999,-9999
53131,20210109,2.623,-111.17,32.24,16.8,1.9,9.3,9.9,0,13.61,C,27.1,0.6,9.6,36.1,12.9,21.3,0.015,0.037,-99,-99,-99,12.1,12.2,-9999,-9999,-9999
53131,20210110,2.623,-111.17,32.24,16.4,-1,7.7,9.1,0,13.61,C,27.8,-1.8,9.2,42.7,15.6,24.5,0.015,0.036,-99,-99,-99,11.4,11.3,-9999,-9999,-9999
53131,20210111,2.623,-111.17,32.24,16.4,6.5,11.5,10.6,0,13.39,C,26.6,3.2,10.5,35.2,14.1,24.8,0.015,0.036,-99,-99,-99,12.3,12.1,-9999,-9999,-9999
53131,20210112,2.623,-111.17,32.24,17.4,0.9,9.1,9.7,0,13.99,C,28.4,-0.8,9.6,42.1,11.4,24,0.015,0.035,-99,-99,-99,11.7,11.6,-9999,-9999,-9999
53131,20210113,2.623,-111.17,32.24,19.4,0.6,10,10.1,0,13.93,C,29.6,-1.7,9.7,36.9,7,18.1,0.015,0.034,-99,-99,-99,11.6,11.3,-9999,-9999,-9999
53131,20210114,2.623,-111.17,32.24,21.6,3.4,12.5,12.8,0,13.49,C,29.9,1.3,12,24.3,8.7,16.2,0.015,0.036,-99,-99,-99,13.4,12.8,-9999,-9999,-9999
53131,20210115,2.623,-111.17,32.24,22.8,7.4,15.1,14.9,0,14.21,C,32.3,3.2,13.7,27.6,7,15.6,0.016,0.037,-99,-99,-99,15,14.3,-9999,-9999,-9999
53131,20210116,2.623,-111.17,32.24,25,6.8,15.9,16.2,0,13.52,C,33.9,4.7,14.6,22.1,4.1,11.7,0.016,0.037,-99,-99,-99,15.7,14.9,-9999,-9999,-9999
53131,20210117,2.623,-111.17,32.24,25.8,6.3,16.1,15.5,0,14.53,C,34.8,3.5,14.5,26.1,4,12,0.015,0.037,-99,-99,-99,16,15.3,-9999,-9999,-9999
53131,20210118,2.623,-111.17,32.24,24.3,5.8,15.1,15.4,0,14.13,C,34.4,2.9,15,23.3,5.4,12.7,0.015,0.036,-99,-99,-99,16,15.2,-9999,-9999,-9999
53131,20210119,2.623,-111.17,32.24,22.7,8.8,15.7,16.4,0,6.13,C,29.7,6.7,15.2,37,11.6,21.7,0.014,0.037,-99,-99,-99,16.1,16,-9999,-9999,-9999
53131,20210120,2.623,-111.17,32.24,20.9,11.4,16.1,15.7,0,12,C,33.1,7.9,16.9,66,26.4,39.3,0.016,0.038,-99,-99,-99,17.8,17.2,-9999,-9999,-9999
53131,20210121,2.623,-111.17,32.24,18.4,9.1,13.8,12.7,11.1,7.53,C,25.9,7.2,12.4,91.6,45.2,72.2,0.056,0.054,-99,-99,-99,14,14.7,-9999,-9999,-9999
53131,20210122,2.623,-111.17,32.24,18.8,5.3,12,11.9,0,13.82,C,26.9,4.4,12.1,96.3,37.3,67.6,0.099,0.083,-99,-99,-99,13.2,13.2,-9999,-9999,-9999
53131,20210123,2.623,-111.17,32.24,18,7.8,12.9,12.8,0,12.2,C,25.9,4.9,12.5,76.2,28.1,54.7,0.08,0.088,-99,-99,-99,13.2,13.2,-9999,-9999,-9999
53131,20210124,2.623,-111.17,32.24,10.4,4.7,7.5,7.4,2.7,5.29,C,16.8,2.8,8.6,90.6,51.3,74.1,0.075,0.088,-99,-99,-99,10.4,11.2,-9999,-9999,-9999
53131,20210125,2.623,-111.17,32.24,11.6,1.5,6.5,5.7,4.1,6.88,C,15.7,1.2,6.1,93.5,48.5,76,0.089,0.096,-99,-99,-99,7.8,8.6,-9999,-9999,-9999
53131,20210126,2.623,-111.17,32.24,8.8,0.5,4.6,3.8,2.5,9.74,C,17.1,-0.6,4.9,96.7,47.3,76.6,0.116,0.15,-99,-99,-99,7,7.5,-9999,-9999,-9999
53131,20210127,2.623,-111.17,32.24,15.2,1.4,8.3,8.4,0,15.17,C,20.7,-1.6,6.8,81.7,25.8,45.4,0.101,0.14,-99,-99,-99,7.9,7.8,-9999,-9999,-9999
53131,20210128,2.623,-111.17,32.24,21.3,9.8,15.6,14.2,0,11.61,C,27,4.8,11.7,40,16.8,30.1,0.084,0.13,-99,-99,-99,11.3,10.9,-9999,-9999,-9999
53131,20210129,2.623,-111.17,32.24,20.3,7.2,13.7,14.6,5.4,14.19,C,26.7,7.4,14.2,93.4,13.4,40,0.084,0.127,-99,-99,-99,14.2,13.8,-9999,-9999,-9999
53131,20210130,2.623,-111.17,32.24,14.1,3.8,9,8.9,0,15.33,C,23.1,2.8,9.9,95.5,45.1,70.4,0.103,0.147,-99,-99,-99,11.6,11.6,-9999,-9999,-9999
53131,20210131,2.623,-111.17,32.24,22.5,3.4,13,13.5,0,15.66,C,28.6,2.1,12.2,89.2,17.8,45.9,0.087,0.136,-99,-99,-99,12.4,11.8,-9999,-9999,-9999
53131,20210201,2.623,-111.17,32.24,22.5,13.8,18.1,17.3,0,8.29,C,27.4,8.4,14.7,37.9,15.8,23.4,0.076,0.129,-99,-99,-99,14.2,13.8,-9999,-9999,-9999
53131,20210202,2.623,-111.17,32.24,23.9,13.7,18.8,18.7,0,8.76,C,32.2,11.7,17.2,46.8,15.5,27.2,0.073,0.124,-99,-99,-99,16.7,16.1,-9999,-9999,-9999
53131,20210203,2.623,-111.17,32.24,26,12.5,19.2,19.1,0,15.02,C,35,10.1,19.5,57.7,16.9,33.9,0.072,0.121,-99,-99,-99,18.9,18,-9999,-9999,-9999
53131,20210204,2.623,-111.17,32.24,21.7,10.3,16,16.8,0,16.43,C,31.8,8.3,16.8,61.2,10.1,28.9,0.065,0.115,-99,-99,-99,18.1,17.8,-9999,-9999,-9999
