Name,Category_1,Category_2,Module_id,Reaction level,Definition,key_gene,Definition gene name,order
carbon dioxide => formate,Reductive glycine pathway,Carbon fixation,ExDef00001_001,Yes,"K05299+K15022,K22015+K25123+K25124","K02437+(K00282+K00283,K00281)+K00605+K00382",,
formate+THF => formyl-H4MPT,Reductive glycine pathway,Carbon fixation,ExDef00001_002,Yes,K01938,"K02437+(K00282+K00283,K00281)+K00605+K00382",,
"5,10_methenyl_H4F => 5,10_methylene_H4F",Reductive glycine pathway,Carbon fixation,ExDef00001_003,Yes,K01491,"K02437+(K00282+K00283,K00281)+K00605+K00382",,
"5,10_methylene_H4F+ammonium+carbon-dioxide => glycine",Reductive glycine pathway,Carbon fixation,ExDef00001_004,Yes,"K02437+(K00282+K00283,K00281)+K00605+K00382","K02437+(K00282+K00283,K00281)+K00605+K00382",,
"5,10_methylene_H4F+glycine => serine",Reductive glycine pathway,Carbon fixation,ExDef00001_005,Yes,K00600,"K02437+(K00282+K00283,K00281)+K00605+K00382",,
serine => pyruvate+ammonium,Reductive glycine pathway,Carbon fixation,ExDef00001_006,Yes,"K01752,K01754","K02437+(K00282+K00283,K00281)+K00605+K00382",,
glycine => acetyl-P+ammonium,Reductive glycine pathway,Carbon fixation,ExDef00001_007,Yes,K10670+K10671+K10672+K21576+K21577,"K02437+(K00282+K00283,K00281)+K00605+K00382",,
acetyl-CoA => acetyl-P,Reductive glycine pathway,Carbon fixation,ExDef00001_008,Yes,"K00625,K13788,K04020","K02437+(K00282+K00283,K00281)+K00605+K00382",,
acetyl-P => acetate,Reductive glycine pathway,Carbon fixation,ExDef00001_009,Yes,"K01512,K00925","K02437+(K00282+K00283,K00281)+K00605+K00382",,
acetate => acetyl-CoA,Reductive glycine pathway,Carbon fixation,ExDef00001_010,Yes,K01895,"K02437+(K00282+K00283,K00281)+K00605+K00382",,
acetyl-CoA+carbon-dioxide => pyruvate,Reductive glycine pathway,Carbon fixation,ExDef00001_011,Yes,"(K00169+K00170+K00171+K00172),(K00169+K00170+K00171+K00189),(K03737)","K02437+(K00282+K00283,K00281)+K00605+K00382",,
PEP => pyruvate-PO3,anabolic_phosphate_reduction,phosphorous_redox,ExDef00002_001,,"K01841,K23999",,,
pyruvate-PO3 => acetaldehyde-PO3,anabolic_phosphate_reduction,phosphorous_redox,ExDef00002_002,,K09459,,,
phosphite=>phosphate,phosphite_oxidation,phosphorous_redox,ExDef00003_001,,K18916,,,
methyl-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,ExDef00004_001,,"(K06166+K06165+K06164+K06162+K05780+K06163+K05781),(K23996+K05915)",,,
pyruvate-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,ExDef00004_002,,K19669,,,
acetate-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,ExDef00004_003,,K19670,,,
acetaldehyde-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,ExDef00004_004,,K05306,,,
glycerone => glycerone-P,glycerone_degradation,glycerol_degradation,ExDef00005_001,,"(K05878+K05879+K05881),(K00863)",,,
glycerone-P => glyceraldehyde-3-P,glycerone_degradation,glycerol_degradation,ExDef00005_002,,K01803,,,
glycerol => glycerol-3-P,glycerol_degradation,glycerol_degradation,ExDef00006_001,,K00864,,,
glycerol-3-P => glycerone-P,glycerol_degradation,glycerol_degradation,ExDef00006_002,,"(K00111+K00112+K00113),(K00057)",,,
glycerone-P => glyceraldehyde-3-P,glycerol_degradation,glycerol_degradation,ExDef00006_003,,K01803,,,
methane=>methanol ,assimilatory methanotrophy,Emerge_carbon_redox,ExDef00007_001,,"((K109442+K109452+K109462),(K16157+K16158+K16159+K16160+K16161+K16162))","K10713,K13812",,
methanol=>formaldehyde,assimilatory methanotrophy,Emerge_carbon_redox,ExDef00007_002,,"(K14028+K14029),K23995","K10713,K13813",,
"formaldehyde=>5,10-methylene-THMPT",assimilatory methanotrophy,Emerge_carbon_redox,ExDef00007_003,,"K10713,K13812","K10713,K13814",,
methane=>methanol,dissimilatory methanotrophy,Emerge_carbon_redox,ExDef00008_001,,"((K109442+K109452+K109462),(K16157+K16158+K16159+K16160+K16161+K16162))",,,
methanol => formaldehyde,dissimilatory methanotrophy,Emerge_carbon_redox,ExDef00008_002,,"(K14028+K14029),K23995",,,
formaldehyde => formate,dissimilatory methanotrophy,Emerge_carbon_redox,ExDef00008_003,,"K00148,(K03396+K00121+K01070),(K10713+K10714+K01499+K00672)",,,
formate => carbon dioxide,dissimilatory methanotrophy,Emerge_carbon_redox,ExDef00008_004,,"K00122,(K05299+K15022),(K00123+K22515),(K08348+K08349+K08350),(K00123+K00124+K00127)",,,
pyruvate => acetyl-CoA,ethanol_fermentation,Fermentation,ExDef00009_001,,"(K00163+K00627),(K00161+K00162+K00627),(K00169+K00170+K00171+K00172),(K00169+K00170+K00171+K00189),(K03737),(K00174+K00175),(K00656)",,,
acetyl-CoA => acetaldehyde,ethanol_fermentation,Fermentation,ExDef00009_002,,"K00132,K04072,K04073,K18366",,,
acetaldehyde => ethanol,ethanol_fermentation,Fermentation,ExDef00009_003,,"K13953,K13954,K00001,K00121,K04072,K00002,K12957,K13979,K14028+K14029,K00114",,,
pyruvate => acetaldehyde,ethanol_fermentation,Fermentation,ExDef00009_004,,K01568,,,
ethanol => acetaldehyde,ethanol_fermentation,Fermentation,ExDef00009_005,,K22473+K22474,,,
pyruvate => L-lactate,lactate_fermentation,Fermentation,ExDef00010_001,,"K00016,K00101",,,
pyruvate => D-lactate,lactate_fermentation,Fermentation,ExDef00010_002,,"K03777,K03778,K00102,K18930,K21836",,,
succinyl-CoA => R-methylmalonyl-CoA,propionate_fermentation_succinate_pathway,Fermentation,ExDef00011_001,,"K01847,(K01848+K01849)",,,
R-methylmalonyl-CoA => S-methylmalonyl-CoA,propionate_fermentation_succinate_pathway,Fermentation,ExDef00011_002,,K05606,,,
S-methylmalonyl-CoA => propionyl-CoA,propionate_fermentation_succinate_pathway,Fermentation,ExDef00011_003,,"K11264,K03416",,,
propionyl-CoA => propionate,propionate_fermentation_succinate_pathway,Fermentation,ExDef00011_004,,"K01026,(K01905+K22224),K24012",,,
pyruvate => lactate,propionate_fermentation_acrylate_pathway,Fermentation,ExDef00012_001,,"K00016,K00101,K03777,K03778,K00102,K18930,K21836",,,
lactate => lactoyl-CoA,propionate_fermentation_acrylate_pathway,Fermentation,ExDef00012_002,,K01026,,,
lactoyl-CoA => acryloyl-CoA,propionate_fermentation_acrylate_pathway,Fermentation,ExDef00012_003,,K20626+K20627,,,
acryloyl-CoA => propionyl-CoA,propionate_fermentation_acrylate_pathway,Fermentation,ExDef00012_004,,"K20143,K19745,K00248,K00232",,,
