SampleID,Month,stage
RNA-6-S1,August,during
RNA-6-S2,August,during
RNA-6-S3,August,during
RNA-6-S4,August,during
RNA-3-S1,July_1,during
RNA-3-S2,July_1,during
RNA-3-S3,July_1,during
RNA-3-S4,July_1,during
RNA-4-S1,July_2,during
RNA-4-S2,July_2,during
RNA-4-S3,July_2,during
RNA-4-S4,July_2,during
RNA-5-S1,July_3,during
RNA-5-S2,July_3,during
RNA-5-S3,July_3,during
RNA-5-S4,July_3,during
RNA-1-S1,May,pre
RNA-1-S2,May,pre
RNA-1-S3,May,pre
RNA-1-S4,May,pre
RNA-1-S1-22,May_22,pre
RNA-1-S2-22,May_22,pre
RNA-1-S3-22,May_22,pre
RNA-1-S4-22,May_22,pre
RNA-8-S1,October,post
RNA-8-S2,October,post
RNA-8-S3,October,post
RNA-8-S4,October,post
