sample,sampling,month,stage,asv_sample
DNA-1-S1,DNA-1,May,Pre monsoon,SAMP1-S1
DNA-1-S2,DNA-1,May,Pre monsoon,SAMP1-S2
DNA-1-S3,DNA-1,May,Pre monsoon,SAMP1-S3
DNA-1-S4,DNA-1,May,Pre monsoon,SAMP1-S4
DNA-2-S1,DNA-2,June,Pre monsoon,SAMP2-S1
DNA-2-S2,DNA-2,June,Pre monsoon,SAMP2-S2
DNA-2-S3,DNA-2,June,Pre monsoon,SAMP2-S3
DNA-2-S4,DNA-2,June,Pre monsoon,SAMP2-S4
DNA-3-S1,DNA-3,July_1,During monsoon,SAMP3-S1
DNA-3-S2,DNA-3,July_1,During monsoon,SAMP3-S2
DNA-3-S3,DNA-3,July_1,During monsoon,SAMP3-S3
DNA-3-S4,DNA-3,July_1,During monsoon,SAMP3-S4
DNA-4-S1,DNA-4,July_2,During monsoon,SAMP4-S1
DNA-4-S2,DNA-4,July_2,During monsoon,SAMP4-S2
DNA-4-S3,DNA-4,July_2,During monsoon,SAMP4-S3
DNA-4-S4,DNA-4,July_2,During monsoon,SAMP4-S4
DNA-5-S1,DNA-5,July_3,During monsoon,SAMP5-S1
DNA-5-S2,DNA-5,July_3,During monsoon,SAMP5-S2
DNA-5-S3,DNA-5,July_3,During monsoon,SAMP5-S3
DNA-5-S4,DNA-5,July_3,During monsoon,SAMP5-S4
DNA-6-S1,DNA-6,August,During monsoon,SAMP6-S1
DNA-6-S2,DNA-6,August,During monsoon,SAMP6-S2
DNA-6-S3,DNA-6,August,During monsoon,SAMP6-S3
DNA-6-S4,DNA-6,August,During monsoon,SAMP6-S4
DNA-7-S1,DNA-7,September,Post monsoon,SAMP7-S1
DNA-7-S2,DNA-7,September,Post monsoon,SAMP7-S2
DNA-7-S3,DNA-7,September,Post monsoon,SAMP7-S3
DNA-7-S4,DNA-7,September,Post monsoon,SAMP7-S4
DNA-8-S1,DNA-8,October,Post monsoon,SAMP8-S1
DNA-8-S2,DNA-8,October,Post monsoon,SAMP8-S2
DNA-8-S3,DNA-8,October,Post monsoon,SAMP8-S3
DNA-8-S4,DNA-8,October,Post monsoon,SAMP8-S4
DNA-1-S1-22,DNA-1-22,May_22,Pre monsoon,SAMP1-S1-22
DNA-1-S2-22,DNA-1-22,May_22,Pre monsoon,SAMP1-S2-22
DNA-1-S3-22,DNA-1-22,May_22,Pre monsoon,SAMP1-S3-22
DNA-1-S4-22,DNA-1-22,May_22,Pre monsoon,SAMP1-S4-22
