SampleID,treatment_code,soil_source,sampling,month,stage
S_73,SAMP1-S1,field,samp1,may,Pre_monsoon
S_74,SAMP1-S2,field,samp1,may,Pre_monsoon
S_75,SAMP1-S3,field,samp1,may,Pre_monsoon
S_76,SAMP1-S4,field,samp1,may,Pre_monsoon
S_77,SAMP2-S1,field,samp2,june,Pre_monsoon
S_78,SAMP2-S2,field,samp2,june,Pre_monsoon
S_79,SAMP2-S3,field,samp2,june,Pre_monsoon
S_80,SAMP2-S4,field,samp2,june,Pre_monsoon
S_81,SAMP3-S1,field,samp3,july_1,During_monsoon
S_82,SAMP3-S2,field,samp3,july_1,During_monsoon
S_83,SAMP3-S3,field,samp3,july_1,During_monsoon
S_84,SAMP3-S4,field,samp3,july_1,During_monsoon
S_85,SAMP4-S1,field,samp4,july_2,During_monsoon
S_86,SAMP4-S2,field,samp4,july_2,During_monsoon
S_87,SAMP4-S3,field,samp4,july_2,During_monsoon
S_88,SAMP4-S4,field,samp4,july_2,During_monsoon
S_89,SAMP5-S1,field,samp5,july_3,During_monsoon
S_90,SAMP5-S2,field,samp5,july_3,During_monsoon
S_91,SAMP5-S3,field,samp5,july_3,During_monsoon
S_92,SAMP5-S4,field,samp5,july_3,During_monsoon
S_93,SAMP6-S1,field,samp6,august,During_monsoon
S_94,SAMP6-S2,field,samp6,august,During_monsoon
S_95,SAMP6-S3,field,samp6,august,During_monsoon
S_96,SAMP6-S4,field,samp6,august,During_monsoon
S_97,SAMP7-S1,field,samp7,september,Post_monsoon
S_98,SAMP7-S2,field,samp7,september,Post_monsoon
S_99,SAMP7-S3,field,samp7,september,Post_monsoon
S_100,SAMP7-S4,field,samp7,september,Post_monsoon
S_101,SAMP8-S1,field,samp8,october,Post_monsoon
S_102,SAMP8-S2,field,samp8,october,Post_monsoon
S_103,SAMP8-S3,field,samp8,october,Post_monsoon
S_104,SAMP8-S4,field,samp8,october,Post_monsoon
