to,from,interaction
bin277,bin276,pp
bin277,bin268,np
bin277,bin248,np
bin277,bin224,pp
bin277,bin164,pp
bin277,bin113,pp
bin277,bin48,pp
bin277,bin15,np
bin276,bin269,np
bin276,bin268,np
bin276,bin248,np
bin276,bin187,pp
bin276,bin164,pp
bin276,bin113,pp
bin276,bin96,np
bin276,bin21,np
bin276,bin15,np
bin274,bin194,pp
bin274,bin177,pp
bin274,bin61,np
bin273,bin155,pp
bin273,bin55,pp
bin273,bin2,pp
bin269,bin268,pp
bin269,bin248,pp
bin269,bin244,pp
bin269,bin241,pp
bin269,bin99,pp
bin269,bin96,pp
bin269,bin21,pp
bin269,bin15,pp
bin268,bin224,np
bin268,bin164,np
bin268,bin132,np
bin268,bin113,np
bin268,bin96,pp
bin268,bin80,pp
bin268,bin21,pp
bin268,bin15,pp
bin267,bin190,pp
bin265,bin229,pp
bin263,bin251,pp
bin263,bin232,pp
bin263,bin210,pp
bin263,bin111,pp
bin263,bin59,pp
bin263,bin17,pp
bin262,bin190,pp
bin262,bin127,pp
bin262,bin32,pp
bin261,bin105,np
bin259,bin29,pp
bin254,bin249,pp
bin254,bin239,pp
bin254,bin156,pp
bin254,bin93,pp
bin253,bin98,pp
bin253,bin82,np
bin253,bin62,pp
bin252,bin44,pp
bin251,bin239,pp
bin251,bin232,pp
bin251,bin210,pp
bin251,bin199,np
bin251,bin111,pp
bin251,bin106,pp
bin251,bin93,pp
bin251,bin59,pp
bin251,bin17,pp
bin249,bin239,pp
bin249,bin156,pp
bin249,bin93,pp
bin248,bin156,pp
bin248,bin132,np
bin248,bin29,pp
bin248,bin21,pp
bin245,bin224,pp
bin245,bin137,pp
bin244,bin241,pp
bin244,bin164,np
bin244,bin132,np
bin244,bin99,pp
bin244,bin80,pp
bin244,bin21,pp
bin241,bin164,np
bin241,bin132,np
bin241,bin99,pp
bin241,bin80,pp
bin241,bin21,pp
bin239,bin232,pp
bin239,bin229,pp
bin239,bin199,np
bin239,bin111,pp
bin239,bin93,pp
bin236,bin144,pp
bin232,bin210,pp
bin232,bin199,np
bin232,bin111,pp
bin232,bin106,pp
bin232,bin93,pp
bin232,bin59,pp
bin232,bin17,pp
bin229,bin199,np
bin229,bin172,pp
bin229,bin93,pp
bin229,bin84,pp
bin226,bin195,pp
bin225,bin171,np
bin224,bin198,pp
bin224,bin187,pp
bin224,bin137,pp
bin224,bin113,pp
bin224,bin96,np
bin224,bin15,np
bin223,bin157,pp
bin223,bin65,pp
bin222,bin140,pp
bin220,bin118,pp
bin220,bin98,np
bin219,bin110,pp
bin218,bin162,pp
bin218,bin118,pp
bin218,bin116,pp
bin217,bin148,pp
bin216,bin2,pp
bin215,bin187,pp
bin215,bin171,np
bin215,bin136,pp
bin213,bin128,pp
bin211,bin198,np
bin211,bin196,pp
bin211,bin40,pp
bin210,bin111,pp
bin210,bin59,pp
bin210,bin17,pp
bin209,bin188,pp
bin209,bin153,pp
bin209,bin120,pp
bin209,bin91,pp
bin209,bin28,pp
bin208,bin197,pp
bin208,bin192,pp
bin208,bin118,pp
bin206,bin75,pp
bin206,bin23,pp
bin205,bin44,pp
bin203,bin185,np
bin202,bin132,np
bin202,bin80,pp
bin199,bin111,np
bin199,bin106,np
bin199,bin93,np
bin199,bin84,np
bin199,bin62,np
bin198,bin153,np
bin198,bin137,pp
bin198,bin120,np
bin198,bin96,np
bin198,bin28,np
bin197,bin192,pp
bin197,bin118,pp
bin197,bin98,np
bin197,bin62,np
bin194,bin177,pp
bin194,bin127,np
bin194,bin61,np
bin190,bin82,np
bin189,bin130,np
bin188,bin103,pp
bin188,bin91,pp
bin187,bin136,pp
bin187,bin96,np
bin187,bin83,np
bin186,bin153,pp
bin186,bin120,pp
bin186,bin28,pp
bin180,bin47,pp
bin177,bin127,np
bin177,bin61,np
bin175,bin127,np
bin175,bin32,np
bin172,bin62,pp
bin171,bin136,np
bin164,bin143,pp
bin164,bin113,pp
bin164,bin99,np
bin164,bin96,np
bin164,bin66,np
bin164,bin15,np
bin164,bin8,pp
bin161,bin134,np
bin160,bin128,pp
bin160,bin101,np
bin156,bin62,pp
bin153,bin120,pp
bin153,bin83,pp
bin153,bin28,pp
bin148,bin147,pp
bin143,bin82,pp
bin143,bin11,np
bin140,bin56,pp
bin132,bin113,pp
bin132,bin99,np
bin132,bin55,pp
bin132,bin15,np
bin132,bin12,np
bin130,bin88,pp
bin130,bin69,np
bin130,bin44,pp
bin127,bin32,pp
bin125,bin16,pp
bin122,bin105,pp
bin120,bin83,pp
bin120,bin28,pp
bin116,bin75,pp
bin115,bin32,np
bin113,bin48,pp
bin113,bin15,np
bin111,bin106,pp
bin111,bin93,pp
bin111,bin59,pp
bin111,bin17,pp
bin99,bin80,pp
bin99,bin21,pp
bin98,bin82,np
bin98,bin62,pp
bin96,bin21,pp
bin96,bin15,pp
bin91,bin61,np
bin88,bin69,np
bin83,bin28,pp
bin82,bin62,np
bin82,bin32,np
bin80,bin15,pp
bin77,bin75,pp
bin76,bin23,pp
bin75,bin55,pp
bin59,bin17,pp
bin55,bin23,pp
bin48,bin2,pp
bin46,bin43,pp
bin43,bin40,np
bin42,bin25,pp
bin30,bin6,pp
bin21,bin15,pp
