to,from,interaction
bin277,bin251,np
bin277,bin239,np
bin277,bin173,pp
bin277,bin156,np
bin276,bin224,pp
bin276,bin216,pp
bin276,bin201,pp
bin276,bin71,pp
bin276,bin48,pp
bin275,bin251,np
bin275,bin239,np
bin275,bin237,pp
bin275,bin210,np
bin275,bin173,pp
bin275,bin156,np
bin275,bin84,np
bin275,bin21,np
bin275,bin19,np
bin275,bin18,np
bin275,bin15,np
bin274,bin247,pp
bin274,bin208,pp
bin274,bin197,pp
bin274,bin177,pp
bin274,bin163,pp
bin274,bin157,pp
bin273,bin269,np
bin273,bin224,pp
bin273,bin216,pp
bin273,bin201,pp
bin273,bin48,pp
bin272,bin183,np
bin272,bin155,np
bin272,bin154,np
bin269,bin210,pp
bin269,bin84,pp
bin269,bin48,np
bin269,bin19,pp
bin269,bin18,pp
bin269,bin15,pp
bin268,bin263,pp
bin267,bin154,np
bin262,bin190,pp
bin261,bin110,pp
bin259,bin232,pp
bin259,bin111,pp
bin259,bin26,pp
bin257,bin144,np
bin254,bin229,pp
bin253,bin209,np
bin252,bin176,np
bin251,bin239,pp
bin251,bin229,pp
bin251,bin173,np
bin251,bin156,pp
bin251,bin155,np
bin251,bin154,np
bin251,bin21,pp
bin251,bin15,pp
bin247,bin208,pp
bin247,bin169,pp
bin247,bin157,pp
bin247,bin130,pp
bin247,bin87,pp
bin247,bin75,pp
bin247,bin45,pp
bin247,bin44,pp
bin239,bin229,pp
bin239,bin173,np
bin239,bin156,pp
bin239,bin155,np
bin239,bin154,np
bin239,bin21,pp
bin239,bin15,pp
bin237,bin205,pp
bin237,bin21,np
bin236,bin134,np
bin232,bin229,pp
bin232,bin111,pp
bin232,bin74,np
bin232,bin40,np
bin232,bin26,pp
bin231,bin219,pp
bin229,bin210,pp
bin229,bin173,np
bin229,bin156,pp
bin229,bin111,pp
bin229,bin26,pp
bin229,bin19,pp
bin229,bin15,pp
bin224,bin201,pp
bin224,bin165,pp
bin224,bin101,pp
bin220,bin117,pp
bin218,bin217,pp
bin216,bin201,pp
bin216,bin48,pp
bin213,bin180,pp
bin213,bin146,pp
bin213,bin133,pp
bin213,bin47,pp
bin210,bin173,np
bin210,bin21,pp
bin210,bin19,pp
bin208,bin203,pp
bin206,bin183,pp
bin206,bin10,np
bin204,bin191,pp
bin204,bin177,pp
bin201,bin182,np
bin201,bin71,pp
bin200,bin92,np
bin199,bin191,pp
bin197,bin163,pp
bin197,bin157,pp
bin192,bin118,pp
bin192,bin92,np
bin192,bin68,pp
bin192,bin51,pp
bin191,bin177,pp
bin191,bin113,pp
bin190,bin1,np
bin183,bin84,np
bin183,bin18,np
bin183,bin15,np
bin182,bin144,pp
bin182,bin128,pp
bin182,bin71,np
bin181,bin157,pp
bin181,bin51,pp
bin180,bin159,pp
bin180,bin133,pp
bin180,bin47,pp
bin178,bin128,pp
bin177,bin113,pp
bin176,bin151,np
bin173,bin156,np
bin173,bin84,np
bin173,bin21,np
bin173,bin19,np
bin173,bin18,np
bin170,bin75,pp
bin169,bin133,pp
bin169,bin130,pp
bin169,bin5,pp
bin165,bin101,pp
bin163,bin157,pp
bin162,bin61,np
bin161,bin123,np
bin161,bin53,np
bin161,bin52,np
bin161,bin29,np
bin161,bin10,np
bin159,bin133,pp
bin159,bin131,pp
bin159,bin47,pp
bin157,bin75,pp
bin157,bin45,pp
bin156,bin155,np
bin156,bin154,np
bin156,bin21,pp
bin156,bin15,pp
bin155,bin15,np
bin154,bin52,np
bin151,bin134,np
bin147,bin6,pp
bin140,bin57,np
bin133,bin131,pp
bin133,bin130,pp
bin133,bin107,pp
bin133,bin87,pp
bin133,bin44,pp
bin131,bin5,pp
bin130,bin5,pp
bin128,bin87,pp
bin128,bin44,pp
bin123,bin74,np
bin123,bin53,pp
bin123,bin29,pp
bin123,bin15,pp
bin121,bin64,np
bin118,bin92,np
bin118,bin68,pp
bin118,bin51,pp
bin111,bin74,np
bin111,bin40,np
bin111,bin26,pp
bin106,bin91,np
bin92,bin27,np
bin88,bin27,pp
bin88,bin5,pp
bin87,bin44,pp
bin84,bin21,pp
bin84,bin18,pp
bin77,bin10,np
bin74,bin53,np
bin74,bin52,np
bin74,bin29,np
bin74,bin26,np
bin71,bin48,pp
bin70,bin1,pp
bin68,bin23,pp
bin53,bin29,pp
bin53,bin15,pp
bin51,bin23,pp
bin45,bin5,pp
bin40,bin26,np
bin29,bin15,pp
bin21,bin19,pp
bin21,bin18,pp
bin21,bin15,pp
