ID	SAMP1-S1	SAMP1-S2	SAMP1-S3	SAMP1-S4	SAMP8-S1	SAMP8-S2	SAMP8-S3	SAMP8-S4
bin277		0.22685563	0.151753545	1.2893577999999999	0.6583958249999999	0.44814956	0.11831112499999999	0.404681075
bin276	0.5701712999999999	1.55048255	1.3162069	9.784428	5.6654155	4.4252979	0.8811638500000001	2.9722813500000003
bin275	16.407015	3.079409	3.1877174	6.0424665	2.9295108499999998	3.0717159499999998	5.38705815	9.0654115
bin274	37.95585	8.2650373	15.044928500000001	38.7781125	38.1860735	30.569354500000003	20.6824245	23.09309
bin273	1.5136704	2.6680037	2.9267461	5.9412738	6.205512000000001	3.3055394	2.5581583500000002	5.2303114
bin270	2.8081851		0.07846386999999999				0.1037556825	0.11319819
bin269	26.8687575	1.8710214	2.50493465	0.091650777	0.26650414		5.97261565	1.000657175
bin268	10.456524	0.587653225	0.800798125				1.9123853	0.28881714999999997
bin267	10.8951865	5.3660625	7.0472757	0.175188065	3.2885685000000002		8.3952505	0.808119145
bin265	6.2677946	7.4470168	1.65657345	0.0753194725	2.47580915		2.1197592	1.5192987
bin263	4.0911427	1.18220605	0.74296172				0.222523655	
bin262	2.4654616	1.5816413	1.47840135	0.07991542	0.77059835		3.55432545	0.901132865
bin261	1.30830325	0.28050468	0.78165522	1.11013205	0.86105882	1.0026001	0.965340425	1.1170965499999999
bin259	3.680279	0.536440825	0.33564775	0.33604623	0.16971868		0.8712448	0.22286755
bin254	12.0009665	4.1893775	0.29683734500000003				1.5827493	
bin253	4.49126485	2.90819325	1.45628725	0.1970135	1.81005035	0.09526585500000001	3.6376077000000002	2.0250533500000003
bin252	1.5238725	2.4931094	5.793939249999999	8.1474667	6.1312058	4.95266515	3.25418325	4.699237500000001
bin251	5.98721235	2.09227145	1.16090825		0.11989911		0.8780463000000001	
bin250	0.72634007	0.8645963999999999	2.42185315	1.92071025	2.11924425	2.17118755	1.3638273	1.7870311
bin249	3.29640165	0.71796368	0.14840438				0.39814113	
bin248	4.980098	0.226712085	0.09276822				1.9309273500000002	0.08234706
bin247	1.6419902	0.8796271	3.7508470999999997	5.1234143	5.7515946499999995	2.88990495	1.8091142	2.4060575
bin245	7.3081967500000005	14.86640375	10.138894	43.1456625	27.251248500000003	12.152409	4.826912699999999	5.4496223
bin244	2.18738375	0.49115723	1.0569671				2.7907638	0.36808328
bin243	0.17362133			0.38093601499999996	0.12175634300000002	0.26779146	0.09422585	0.0750055275
bin241	2.3872953	0.47453711499999995	0.86764684				1.65543315	0.25946214
bin239	3.4941094	1.57150815	0.662179015		0.11678635000000001		1.2885751	0.093353145
bin238	1.21808505	0.7687412849999999	1.3641531	1.8965641	2.1973737499999997	2.02000895	1.472385	1.1245011
bin237	3.28744835	0.9447694499999999	1.00508645	2.3934054	1.7249020000000002	1.34011745	1.11776295	1.8927757
bin236	0.4981132	0.117971945	0.447574025		0.224117825	0.148032215	0.505572365	0.274963295
bin234	1.6493886500000001	0.6706075499999999	1.42413125	1.4620598999999999	0.8308038099999999	0.9669772	1.55657715	1.4227911500000001
bin233	0.19430793000000002		0.18746817500000001	0.3418423	0.35363920000000004	0.189936235	0.186617645	0.164664075
bin232	17.0434625	2.3204447	0.49738903		0.330457075		0.47342481999999997	
bin231	1.70098675	0.44370202999999997	0.8249456500000001	0.157940415	0.18868876	0.21814736	0.911827655	1.33642425
bin229	11.709568	5.44774345	3.4937125499999997		2.291587		5.5832451	0.9675411
bin227	19.013087	2.4830235	0.8335471	2.3058450500000003	1.4571208	0.804438275	3.19804455	6.2517095000000005
bin226	0.8631256	0.39138159	0.304444195	0.990025135	1.6495397	0.37584066000000005	0.6727930499999999	0.78883975
bin225	0.13450829	0.429234715			1.0570748		0.14147968500000002	
bin224	0.28115219	0.765098075	0.41847756	3.35555115	1.5439224500000002	0.8821699000000001	0.26245528500000004	1.01266855
bin223		0.10474718499999999	1.7762893	0.1949125	2.2907393000000003	0.64708865	0.7399398699999999	3.6068236999999996
bin222	2.12351215	2.1399225	1.3341412	0.167593225	1.25552605		0.9796069999999999	0.5989174500000001
bin221	0.59470978	0.324392005	0.37628101999999997	0.784137435	2.10826935	0.255114335	0.44555779	1.2653428500000001
bin220	2.27763625	0.40624954	1.8819319499999998	3.90510415	4.1767267	2.4089202500000004	1.1078138	2.6917599
bin219	0.96969935	0.6139854	1.3991709	1.45368115	1.5225626499999998	0.7410839499999999	1.06444505	2.3104911
bin218	1.95389535	0.9918932	1.1771435000000001	6.411616	7.561773499999999	4.3566339	2.4110969	2.9135152
bin217	0.291157485	0.3583861	0.769858245	1.04362245	2.2507943	0.76825458	0.40557234	0.97959905
bin216	0.59802648	0.5990828500000001	0.60485522	1.65098805	1.499305	0.502061035	0.38395031	0.800049825
bin215		0.09892803		0.867316635	0.366079235	0.32572748500000004		
bin213			0.20761564999999998	0.131124445	0.16588349	0.2639748	0.16339811999999998	0.0370828
bin211	8.16892335	0.71554253	0.82035689999999994	0.15747555000000002	0.216374815		4.8222977	1.1508256000000001
bin210	2.5571741	0.6336746200000001	0.27731528				0.20120171	
bin209	0.5214565800000001	0.20476104499999997	0.18877338500000002	0.13448703	0.208073965		0.262843345	0.31530543499999997
bin208	0.27347685499999996	0.12326163	0.47202989	1.625976	1.5142916	0.57264472	0.168187315	0.40922725
bin207	0.20774063999999998		0.101550225	0.1022653055	0.14725295	0.21357778	0.167369855	0.271363725
bin206	0.702624615	0.47006415	0.976059015	1.67427195	2.10542445	0.9371545649999999	0.7253705	1.75150635
bin205	0.2378596	0.162024005	0.45911947	0.896757365	0.3457	0.346882315	0.19077109	0.44619540999999996
bin204	0.37089106		0.33858259	1.0411835	0.19082987499999998	0.6441930499999999	0.15359189	0.38817869
bin203	0.1089152395		0.151483325	0.32747234000000003	0.66248705	0.139349785	0.037613595	
bin202	1.1504354	0.26453869	0.235809605				0.9401283	0.19845432000000002
bin201	0.11042020250000001	0.28674705	0.487447335	1.47641285	1.2086708000000002	0.7359638749999999	0.34855372500000004	1.35641735
