Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
bin277,8,350.9239908,3367,0.232060901,0.535714286,1,0.622375914,0
bin276,10,419.3163704,5181,0.302151653,0.533333333,1,0.91133616,0.18
bin274,3,0,0,2.18E-05,1,4,0.073323558,0
bin273,3,126.5,696,0.004246168,0,3,1.040833,0
bin269,9,133.4750929,3014,0.271803709,0.5,1,0.91133616,0
bin268,11,213.8197316,2526,0.335213613,0.490909091,1,1.489256652,0
bin267,1,0,0,8.23E-05,0,4,-1.539794708,0
bin265,1,0,0,9.88E-05,0,7,-1.767157826,0
bin263,6,0,0,0.000945157,1,7,0.042582116,0
bin262,3,21.33333333,38,0.000183682,0.333333333,4,0.073323558,0
bin261,1,0,0,5.87E-147,0,12,0,0
bin259,1,0,0,0.002398886,0,1,-1.400345807,0
bin254,4,222.3534216,5400,0.003415131,0.666666667,7,-0.681313861,0
bin253,3,0,0,0.001280683,1,2,0,0
bin252,1,0,0,1.11E-102,0,5,-0.935414347,0
bin251,10,122.3333333,3318,0.001655435,0.6,7,1.49037407,0
bin249,4,222.3534216,5400,0.003415131,0.666666667,7,-0.681313861,0
bin248,7,1253.041968,16249,0.161052559,0.19047619,1,0.044455422,0.244897959
bin245,2,0,0,0.028220575,1,1,-1.111385561,0
bin244,7,43.82207769,698,0.191869963,0.571428571,1,0.333415668,0
bin241,7,43.82207769,698,0.191869963,0.571428571,1,0.333415668,0
bin239,8,187.1617549,5127,0.001984745,0.535714286,7,0.766478093,0
bin236,1,0,0,1.48E-175,0,16,0,0
bin232,10,122.3333333,3318,0.001655435,0.6,7,1.49037407,0
bin229,6,108.5833333,1141,0.000815952,0.266666667,7,-0.319365872,0.277777778
bin226,1,0,0,1.48E-175,0,14,0,0
bin225,1,0,0,0.00041583,0,0,-1.715380056,0
bin224,9,515.5963961,4737,0.197532549,0.333333333,1,0.622375914,0.197530864
bin223,2,1,1,5.87E-147,0,10,0,0
bin222,1,0,0,5.87E-147,0,9,0,0
